file_path	decision	rules		
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16F7T7.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16F7T7\NSS-2016-16F7T7\tunnettuja-mielikuvitusmatka.manhattansigns.nyc\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FD6M.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FD6M\NSS-2016-16FD6M\nonreligionenvisageras.olga-pvh.com\civis\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FGTR.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FGTR\NSS-2016-16FGTR\tautrekk.wacoal-brasandpanties.com\forums\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FGV7.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FGV7\NSS-2016-16FGV7\tautrekk.wacoal-brasandpanties.com\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FGVS.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FGVS\NSS-2016-16FGVS\tautrekk.wacoal-brasandpanties.com\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FGWY.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FGWY\NSS-2016-16FGWY\vlagje.choosetorun.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FH2N.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FH2N\NSS-2016-16FH2N\tautrekk.wacoal-brasandpanties.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHHJ.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHHJ\NSS-2016-16FHHJ\rouge1selvimisest.diversitybusinessexchange.com\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHHQ.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHHQ\NSS-2016-16FHHQ\rouge1selvimisest.diversitybusinessexchange.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHLS.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHLS\NSS-2016-16FHLS\rouge1selvimisest.diversitybusinessexchange.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHM8.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHM8\NSS-2016-16FHM8\rouge1selvimisest.diversitybusinessexchange.com\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHN9.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHN9\NSS-2016-16FHN9\rouge1selvimisest.diversitybusinessexchange.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHNP.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHNP\NSS-2016-16FHNP\rouge1selvimisest.diversitybusinessexchange.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHPG.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHPG\NSS-2016-16FHPG\rouge1selvimisest.diversitybusinessexchange.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHPJ.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHPJ\NSS-2016-16FHPJ\rouge1selvimisest.diversitybusinessexchange.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
